sentiment_score,satisfaction,start_location_encoded,end_location_encoded,verified_encoded,traveller_type_Business,traveller_type_Couple Leisure,traveller_type_Family Leisure,traveller_type_Solo Leisure,class_Business Class,class_Economy Class,class_First Class,class_Premium Economy
-0.799,0,0.5,0.3553299492385787,1,0,0,0,1,0,1,0,0
0.0219,0,0.39558232931726905,0.0,1,0,1,0,0,1,0,0,0
-0.7096,0,0.5223367697594502,0.0,1,0,0,0,1,1,0,0,0
-0.5849,0,0.25,0.3553299492385787,0,0,0,0,1,0,1,0,0
0.9789,1,0.45454545454545453,0.5,1,0,0,1,0,1,0,0,0
-0.8932,0,0.39558232931726905,0.5555555555555556,1,0,1,0,0,0,1,0,0
0.0516,0,0.3125,0.3553299492385787,1,1,0,0,0,1,0,0,0
0.79,1,0.5223367697594502,1.0,1,0,1,0,0,0,1,0,0
0.8693,0,0.39558232931726905,0.0,0,0,1,0,0,0,1,0,0
-0.5519,0,0.5,0.2727272727272727,0,0,0,1,0,0,1,0,0
-0.7644,0,0.0,0.2857142857142857,1,0,0,0,1,1,0,0,0
0.7096,0,0.0,0.16666666666666666,0,0,0,0,1,0,1,0,0
0.1189,0,0.44878048780487806,0.6363636363636364,1,0,0,1,0,0,1,0,0
-0.9809,0,0.2222222222222222,0.38461538461538464,1,0,0,0,1,0,1,0,0
-0.9493,0,0.16666666666666666,0.3,1,1,0,0,0,1,0,0,0
-0.6908,0,0.35714285714285715,0.3553299492385787,1,0,0,0,1,0,1,0,0
-0.3733,0,0.0,0.3553299492385787,1,0,0,1,0,0,1,0,0
-0.2996,0,0.2222222222222222,0.1111111111111111,1,0,1,0,0,0,1,0,0
-0.8476,0,0.24,0.35714285714285715,1,0,1,0,0,0,0,0,1
-0.25,0,0.2222222222222222,0.3157894736842105,0,1,0,0,0,0,1,0,0
-0.7845,0,0.21428571428571427,0.5,1,0,0,0,1,0,1,0,0
0.9903,1,0.4166666666666667,0.4668192219679634,1,0,0,0,1,1,0,0,0
-0.7841,0,0.4166666666666667,0.38095238095238093,1,0,0,1,0,0,1,0,0
-0.8957,0,0.46153846153846156,0.14285714285714285,1,0,0,1,0,0,1,0,0
-0.91,0,0.39558232931726905,0.3333333333333333,1,0,1,0,0,0,1,0,0
-0.765,0,0.5223367697594502,0.3333333333333333,1,0,0,1,0,0,1,0,0
-0.7717,1,0.39558232931726905,0.5714285714285714,1,0,0,0,1,0,1,0,0
-0.804,0,0.14285714285714285,0.4668192219679634,1,0,0,1,0,0,1,0,0
-0.9246,0,0.09090909090909091,0.6363636363636364,0,0,0,0,1,0,1,0,0
0.9795,1,0.39558232931726905,0.4,1,0,0,1,0,0,0,0,1
-0.9678,0,0.5,0.2857142857142857,1,0,1,0,0,0,1,0,0
-0.7535,0,0.2,0.29411764705882354,0,0,1,0,0,0,0,0,1
-0.0516,1,0.39558232931726905,0.75,0,0,1,0,0,0,1,0,0
0.8479,1,0.39558232931726905,0.5,1,0,0,0,1,0,1,0,0
